limit,epsilon,minpts,sf_time,df_time,ddb_time,result_time
30k,100m,9,SF:0.359s,DF:0.812s,DDB:393.994s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.359s	DF : 32375.312s	DDF : 32091.994s]
30k,100m,21,SF:0.356s,DF:0.703s,DDB:399.773s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.356s	DF : 26277.703s	DDF : 26114.273s]
30k,500m,9,SF:0.391s,DF:0.890s,DDB:349.977s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.391s	DF : 40967.390s	DDF : 40764.477s]
30k,500m,21,SF:0.390s,DF:0.861s,DDB:349.753s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.390s	DF : 36732.861s	DDF : 36486.253s]
40k,100m,9,SF:0.462s,DF:0.960s,DDB:417.054s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.462s	DF : 42126.960s	DDF : 41554.554s]
40k,100m,21,SF:0.450s,DF:0.816s,DDB:414.281s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.450s	DF : 33018.816s	DDF : 32677.781s]
40k,500m,9,SF:0.471s,DF:1.071s,DDB:375.273s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.471s	DF : 53819.571s	DDF : 53314.773s]
40k,500m,21,SF:0.516s,DF:1.000s,DDB:370.406s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.516s	DF : 47116.000s	DDF : 46615.406s]
