epsilon,9,12,15,18,21
100m,27418,25453,23991,22772,21542
200m,30739,29020,27699,26442,25485
300m,32651,31178,29879,28507,27632
400m,34159,32800,31493,30380,29410
500m,35275,33976,32803,31853,30876
