limit,epsilon,minpts,sf_time,df_time,ddb_time,result_time
50k,300m,21,SF:0.359s,DF:0.973s,DDB:375.591s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.359s	DF : 51353.473s	DDF : 51017.091s]
50k,400m,9,SF:0.406s,DF:1.156s,DDB:405.493s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.406s	DF : 64534.156s	DDF : 63741.493s]
50k,400m,12,SF:0.375s,DF:1.106s,DDB:405.683s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.375s	DF : 61805.606s	DDF : 61083.683s]
50k,400m,15,SF:0.359s,DF:1.093s,DDB:403.014s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.359s	DF : 59137.093s	DDF : 58541.514s]
50k,400m,18,SF:0.379s,DF:1.076s,DDB:406.336s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.379s	DF : 56710.076s	DDF : 56228.836s]
50k,400m,21,SF:0.359s,DF:1.015s,DDB:399.959s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.359s	DF : 54830.515s	DDF : 54395.459s]
50k,500m,9,SF:0.411s,DF:1.138s,DDB:429.210s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.411s	DF : 66631.138s	DDF : 65893.710s]
50k,500m,12,SF:0.431s,DF:1.116s,DDB:432.180s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.431s	DF : 64100.616s	DDF : 63387.180s]
50k,500m,15,SF:0.375s,DF:1.109s,DDB:428.345s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.375s	DF : 61766.609s	DDF : 61029.845s]
50k,500m,18,SF:0.359s,DF:1.079s,DDB:427.902s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.359s	DF : 59570.579s	DDF : 59073.402s]
50k,500m,21,SF:0.359s,DF:1.095s,DDB:422.905s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 75000.359s	DF : 57739.095s	DDF : 57095.905s]
