epsilon,9,12,15,18,21
100m,34683,32113,30152,28698,26978
200m,38753,36372,34632,32874,31555
300m,41135,39025,37341,35605,34235
400m,43022,41203,39424,37806,36553
500m,44420,42733,41177,39713,38492
