epsilon,9,12,15,18,21
100m,21135,19892,18954,18097,17164
200m,23563,22541,21677,20934,20216
300m,25010,24086,23252,22443,21817
400m,26130,25257,24469,23721,23174
500m,26925,26083,25359,24721,24147
