epsilon,9,12,15,18,21
100m,33796,31309,29507,27943,26445
200m,37870,35601,33903,32307,31112
300m,40329,38336,36618,34909,33761
400m,42224,40452,38759,37215,35997
500m,43643,41970,40401,39097,37782
