epsilon,9,12,15,18,21
100m,30000,30000,30000,30000,30000
200m,30000,30000,30000,30000,30000
300m,30000,30000,30000,30000,30000
400m,30000,30000,30000,30000,30000
500m,30000,30000,30000,30000,30000
