epsilon,9,12,15,18,21
100m,13719,12764,12076,11461,10580
200m,15715,14789,14213,13580,13001
300m,16851,16063,15436,14892,14317
400m,17627,16992,16387,15852,15380
500m,18160,17573,17098,16646,16198
