epsilon,9,12,15,18,21
100m,13409,12448,11723,11035,10299
200m,15333,14522,13924,13346,12837
300m,16493,15806,15142,14554,14108
400m,17329,16675,16107,15624,15151
500m,17887,17287,16792,16387,15951
