epsilon,9,12,15,18,21
100m,28084,26112,24534,23350,22012
200m,31396,29615,28284,26901,25806
300m,33309,31671,30418,29067,28021
400m,34755,33402,32029,30850,29878
500m,35879,34577,33394,32356,31410
