epsilon,9,12,15,18,21
100m,7109,6685,6316,6031,5521
200m,8096,7703,7452,7177,6951
300m,8686,8374,8061,7818,7534
400m,9117,8901,8593,8347,8093
500m,9345,9146,8931,8776,8552
