epsilon,9,12,15,18,21
100m,21583,20299,19356,18568,17518
200m,24050,22898,22038,21206,20422
300m,25496,24445,23573,22836,22093
400m,26545,25681,24800,24046,23444
500m,27311,26453,25779,25087,24488
