epsilon,9,12,15,18,21
100m,40000,40000,40000,40000,40000
200m,40000,40000,40000,40000,40000
300m,40000,40000,40000,40000,40000
400m,40000,40000,40000,40000,40000
500m,40000,40000,40000,40000,40000
